County,State_Code,Violent_Crime_Total,Murder,Rape,Robbery,Assault,Burglary,Larceny-Theft,Vehicle_Theft
Oglethorpe,GA,5,,,,5,17,52,9
Paulding,GA,259,,15,13,231,234,483,1
Peach,GA,106,,2,18,86,156,476,47
Pickens,GA,8,,,2,6,100,272,33
Pierce,GA,15,,,3,12,45,305,9
Pike,GA,26,,,6,20,39,107,19
Polk,GA,145,4,14,23,104,360,359,915
Pulaski,GA,5,,,1,4,28,41,7
Putnam,GA,41,1,2,3,35,83,164,15
Quitman,GA,8,,,1,7,19,44,1
Rabun,GA,21,,,1,20,75,228,35
Randolph,GA,15,,1,1,13,35,34,2
Richmond,GA,838,14,155,467,202,407,2,624
Rockdale,GA,389,5,16,72,296,536,642,2
Schley,GA,7,,1,,6,9,25,6
Screven,GA,29,,1,6,22,60,119,2
Seminole,GA,25,,,7,18,36,102,11
Spalding,GA,327,2,25,63,237,580,584,1
Stephens,GA,31,,6,3,22,127,248,65
Stewart,GA,14,,,1,13,20,9,3
Sumter,GA,93,1,,16,76,177,408,730
Talbot,GA,3,,1,1,1,12,12,2
Taliaferro,GA,2,,,1,1,15,20,5
Tattnall,GA,78,3,2,5,68,114,379,33
Taylor,GA,2,,1,,1,7,3,2
Telfair,GA,51,1,,2,48,44,123,6
Terrell,GA,41,,3,15,23,60,147,8
Thomas,GA,123,,7,24,92,647,386,1
Tift,GA,506,3,13,60,430,604,461,1
Toombs,GA,77,2,3,24,48,158,481,31
Towns,GA,11,1,,,10,53,159,11
Treutlen,GA,7,,,4,3,56,78,13
Troup,GA,228,1,25,65,137,077,457,2
Turner,GA,8,,1,,7,16,56,9
Twiggs,GA,14,1,3,,10,3,11,4
Union,GA,4,,1,1,2,50,35,17
Upson,GA,139,3,4,16,116,179,687,50
Walker,GA,87,3,,14,70,470,497,1
Walton,GA,86,5,6,14,61,332,318,838
Ware,GA,123,2,7,41,73,686,342,1
Warren,GA,4,,1,1,2,11,27,1
Washington,GA,88,,3,23,62,114,492,42
Wayne,GA,32,,,2,30,13,40,1
Webster,GA,,,,,,6,4,1
Wheeler,GA,,,,,,8,5,4
White,GA,51,2,4,3,42,164,464,96
Whitfield,GA,375,6,25,54,290,471,808,3
Wilcox,GA,12,,,1,11,11,15,
Wilkes,GA,44,,4,6,34,77,102,16
Wilkinson,GA,22,,,2,20,53,92,16
Worth,GA,30,,,1,29,70,195,15
Hawaii,HI,290,3,86,53,148,929,1,162
Honolulu,HI,2,507,26,222,818,2,302,44
Kalawao,HI,,,,,,,,
Kauai,HI,208,2,37,22,147,493,526,1
Maui,HI,269,2,16,70,181,848,1,791
Ada,ID,1,091,4,196,93,9,478,1
Adams,ID,4,,,,4,8,34,1
Bannock,ID,226,1,22,16,187,891,402,2
Bear Lake,ID,4,,2,,2,2,22,1
Benewah,ID,20,,2,,18,17,45,4
Bingham,ID,40,,6,2,32,189,641,51
Blaine,ID,26,,2,,24,109,254,19
Boise,ID,12,,1,,11,34,91,4
Bonner,ID,58,1,8,1,48,185,678,64
Bonneville,ID,188,4,44,11,129,946,474,2
Boundary,ID,24,,2,,22,34,99,6
Butte,ID,4,,,,4,6,26,3
Camas,ID,2,,,,2,1,1,
Canyon,ID,533,12,126,50,345,521,1,136
Caribou,ID,8,,,,8,20,49,4
Cassia,ID,87,,6,2,79,189,506,35
Clark,ID,1,,,,1,2,23,2
Clearwater,ID,15,,3,,12,40,121,10
Custer,ID,5,,,,5,6,53,4
Elmore,ID,46,1,12,1,32,134,467,56
Franklin,ID,4,,1,,3,27,79,3
Fremont,ID,17,,5,,12,19,102,3
Gem,ID,18,,7,,11,27,139,16
Gooding,ID,18,,4,2,12,33,116,6
Idaho,ID,33,,2,,31,39,170,16
Jefferson,ID,22,2,2,1,17,12,166,7
Jerome,ID,45,1,7,6,31,116,329,39
Kootenai,ID,337,1,51,18,267,185,985,2
Latah,ID,31,1,3,2,25,158,592,24
Lemhi,ID,10,,1,,9,17,52,2
Lewis,ID,11,,3,,8,35,33,3
Lincoln,ID,6,,1,,5,11,2,
Madison,ID,9,,2,1,6,29,245,9
Minidoka,ID,37,,8,1,28,99,261,26
Nez Perce,ID,33,1,5,4,23,469,221,1
Oneida,ID,3,,,,3,20,18,8
Owyhee,ID,20,,1,,19,79,103,21
Payette,ID,46,,7,5,34,128,389,29
Power,ID,14,,3,,11,35,170,13
Shoshone,ID,55,1,9,1,44,92,176,17
Teton,ID,18,,5,1,12,27,87,5
Twin Falls,ID,228,1,28,23,176,990,742,2
Valley,ID,20,,4,,16,68,165,27
Washington,ID,19,,2,,17,52,123,9
Adams,IL,,,,,,,,
Alexander,IL,,,,,,,,
Bond,IL,,,,,,,,
Boone,IL,,,,,,,,
Brown,IL,,,,,,,,
Bureau,IL,,,,,,,,
Calhoun,IL,,,,,,,,
Carroll,IL,,,,,,,,
Cass,IL,,,,,,,,
Champaign,IL,,,,,,,,
Christian,IL,,,,,,,,
Clark,IL,,,,,,,,
Clay,IL,,,,,,,,
Clinton,IL,,,,,,,,
Coles,IL,,,,,,,,
Cook,IL,,448,,15,912,,140,602
Crawford,IL,,,,,,,,
Cumberland,IL,,,,,,,,
DeKalb,IL,,,,,,,,
De Witt,IL,,,,,,,,
Douglas,IL,,,,,,,,
DuPage,IL,,5,,56,195,963,458,2
Edgar,IL,,,,,,,,
Edwards,IL,,,,,,,,
Effingham,IL,,,,,,,,
Fayette,IL,,,,,,,,
Ford,IL,,,,,,,,
Franklin,IL,,,,,,,,
Fulton,IL,,,,,,,,
Gallatin,IL,,,,,,,,
Greene,IL,,,,,,,,
Grundy,IL,,,,,,,,
Hamilton,IL,,,,,,,,
Hancock,IL,,,,,,,,
Hardin,IL,,,,,,,,
Henderson,IL,,,,,,,,
Henry,IL,,,,,,,,
Iroquois,IL,,,,,,,,
Jackson,IL,,,,,,,,
Jasper,IL,,,,,,,,
Jefferson,IL,,,,,,,,
Jersey,IL,,,,,,,,
Jo Daviess,IL,,,,,,,,
Johnson,IL,,,,,,,,
Kane,IL,,12,,108,346,607,625,2
Kankakee,IL,,,,,,,,
Kendall,IL,,,,4,8,19,68,5
Knox,IL,,,,,,,,
Lake,IL,,,,,,,,
LaSalle,IL,,,,,,,,
Lawrence,IL,,,,,,,,
Lee,IL,,,,,,,,
Livingston,IL,,,,,,,,
Logan,IL,,,,,,,,
McDonough,IL,,,,,,,,
McHenry,IL,,,,,,,,
McLean,IL,,,,,,,,
Macon,IL,,,,,,,,
Macoupin,IL,,,,,,,,
Madison,IL,,,,,,,,
Marion,IL,,,,,,,,
Marshall,IL,,,,,,,,
Mason,IL,,,,,,,,
Massac,IL,,,,,,,,
Menard,IL,,,,,,,,
Mercer,IL,,,,,,,,
Monroe,IL,,,,,,,,
Montgomery,IL,,,,,,,,
Morgan,IL,,,,,,,,
Moultrie,IL,,,,,,,,
Ogle,IL,,,,,,,,
Peoria,IL,,14,,343,523,928,1,760
Perry,IL,,,,,,,,
Piatt,IL,,,,,,,,
Pike,IL,,,,,,,,
Pope,IL,,,,,,,,
Pulaski,IL,,,,,,,,
Putnam,IL,,,,,,,,
Randolph,IL,,,,,,,,
Richland,IL,,,,,,,,
Rock Island,IL,,,,,,,,
St. Clair,IL,,,,,,,,
Saline,IL,,,,,,,,
Sangamon,IL,,10,,285,1,8,133,1
Schuyler,IL,,,,,,,,
Scott,IL,,,,,,,,
Shelby,IL,,,,,,,,
Stark,IL,,,,,,,,
Stephenson,IL,,,,,,,,
Tazewell,IL,,,,,,,,
Union,IL,,,,,,,,
Vermilion,IL,,,,,,,,
Wabash,IL,,,,,,,,
Warren,IL,,,,,,,,
Washington,IL,,,,,,,,
Wayne,IL,,,,,,,,
White,IL,,,,,,,,
Whiteside,IL,,,,,,,,
Will,IL,,9,,173,376,724,921,3
Williamson,IL,,,,,,,,
Winnebago,IL,,8,,509,714,818,2,607
Woodford,IL,,,,,,,,
Adams,IN,15,,,2,13,30,175,21
Allen,IN,765,23,109,331,302,758,2,474
Bartholomew,IN,108,,10,15,83,729,252,2
Benton,IN,,,,,,,,
Blackford,IN,11,1,,1,9,48,242,16
Boone,IN,3,,1,,2,,4,2
Brown,IN,4,1,,1,2,28,38,2
Carroll,IN,8,,,1,7,7,17,3
Cass,IN,62,1,9,5,47,058,182,823
Clark,IN,250,3,39,76,132,027,765,2
Clay,IN,35,1,2,3,29,76,226,32
Clinton,IN,28,,6,9,13,079,184,848
Crawford,IN,14,1,,3,10,16,22,1
Daviess,IN,11,,,1,10,49,103,15
Dearborn,IN,191,,1,3,187,113,257,75
Decatur,IN,15,,1,2,12,62,299,9
DeKalb,IN,26,,3,10,13,96,310,26
Delaware,IN,412,7,139,88,178,117,691,3
Dubois,IN,22,,4,7,11,51,321,18
Elkhart,IN,350,2,62,183,103,579,1,552
Fayette,IN,43,,5,9,29,284,216,1
Floyd,IN,218,5,17,80,116,185,584,2
Fountain,IN,22,,,3,19,15,31,3
Franklin,IN,23,,,3,20,91,129,18
Fulton,IN,1,,,,1,2,7,1
Gibson,IN,12,,5,2,5,1,36,12
Grant,IN,135,,20,67,48,487,524,1
Greene,IN,21,,2,6,13,76,193,16
Hamilton,IN,110,1,22,24,63,004,460,2
Hancock,IN,27,1,6,7,13,180,521,37
Harrison,IN,49,4,9,4,32,344,451,98
Hendricks,IN,135,3,12,22,98,372,484,1
Henry,IN,39,2,12,11,14,514,565,1
Howard,IN,259,5,28,54,172,482,633,2
Huntington,IN,34,,4,6,24,68,365,20
Jackson,IN,111,,10,3,98,247,122,1
Jasper,IN,18,,1,,17,30,157,7
Jay,IN,2,,,,2,40,198,3
Jefferson,IN,47,,13,4,30,143,302,29
Jennings,IN,80,,5,1,74,82,242,23
Johnson,IN,361,2,29,31,299,038,341,3
Knox,IN,54,1,11,8,34,680,393,1
Kosciusko,IN,50,,13,11,26,484,250,1
LaGrange,IN,21,,1,4,16,65,144,11
Lake,IN,2,732,83,117,828,2,376,17
LaPorte,IN,215,6,20,76,113,895,515,3
Lawrence,IN,31,1,3,6,21,131,543,45
Madison,IN,219,7,36,70,106,421,687,2
Marion,IN,7,372,110,503,2,867,7,072
Marshall,IN,25,,3,3,19,56,522,34
Martin,IN,8,,1,1,6,20,37,9
Miami,IN,22,,,1,21,13,43,4
Monroe,IN,218,2,40,56,120,621,734,2
Montgomery,IN,17,,2,6,9,131,635,16
Morgan,IN,54,,5,11,38,256,119,1
Newton,IN,6,,,1,5,56,76,24
Noble,IN,35,,4,10,21,71,286,45
Ohio,IN,2,,,,2,,9,3
Orange,IN,9,,3,1,5,8,17,
Owen,IN,4,,2,,2,4,7,2
Parke,IN,3,,1,,2,4,12,2
Perry,IN,28,,3,4,21,138,197,29
Pike,IN,5,,,4,1,6,5,
Porter,IN,223,,11,33,179,624,542,2
Posey,IN,9,,3,1,5,60,75,21
Pulaski,IN,1,1,,,,4,11,2
Putnam,IN,160,,7,1,152,232,267,55
Randolph,IN,21,3,8,,10,85,348,20
Ripley,IN,56,,2,11,43,73,220,13
Rush,IN,15,,1,1,13,25,90,1
St. Joseph,IN,1,273,11,109,435,173,12,187
Scott,IN,59,1,3,11,44,76,419,16
Shelby,IN,19,1,1,2,15,81,170,30
Spencer,IN,11,,1,3,7,5,25,3
Starke,IN,15,,3,,12,120,282,63
Steuben,IN,29,,6,2,21,112,189,882
Sullivan,IN,18,1,1,3,13,66,108,11
Switzerland,IN,4,1,,,3,1,10,2
Tippecanoe,IN,310,6,33,80,191,258,1,137
Tipton,IN,32,,,,32,28,112,3
Union,IN,10,,1,,9,9,39,8
Vanderburgh,IN,511,1,40,178,292,146,1,281
Vermillion,IN,10,,,5,5,20,89,19
Vigo,IN,401,,32,117,252,718,1,038
Wabash,IN,18,,5,7,6,74,294,25
Warren,IN,2,,1,,1,,2,1
Warrick,IN,95,,2,6,87,122,515,24
Washington,IN,11,,1,3,7,11,25,7
Wayne,IN,188,1,20,58,109,872,433,1
Wells,IN,18,,2,12,4,75,238,16
White,IN,19,,3,2,14,35,144,14
Whitley,IN,38,,2,4,32,22,134,13
Adair,IA,,,,,,1,24,5
Adams,IA,6,,,,6,29,60,5
Allamakee,IA,,,,,,,,
Appanoose,IA,17,,3,1,13,79,348,40
Audubon,IA,1,,,,1,5,24,
Benton,IA,17,,,,17,56,104,9
Black Hawk,IA,449,3,67,67,312,532,1,072
Boone,IA,31,,,2,29,56,267,24
Bremer,IA,28,,3,,25,40,164,9
Buchanan,IA,4,,,,4,119,205,22
Buena Vista,IA,28,,7,2,19,69,327,23
Butler,IA,7,,1,,6,18,34,3
Calhoun,IA,5,,,1,4,24,69,8
Carroll,IA,8,,,2,6,32,142,12
Cass,IA,5,,,,5,64,168,11
Cedar,IA,8,,1,,7,25,123,11
Cerro Gordo,IA,83,,11,10,62,825,298,1
Cherokee,IA,10,,2,,8,28,138,5
Chickasaw,IA,13,,1,,12,31,36,8
Clarke,IA,7,,,1,6,55,174,12
Clay,IA,3,,,,3,66,271,22
Clayton,IA,12,,1,,11,29,37,10
Clinton,IA,120,,8,18,94,327,278,996
Crawford,IA,1,,,,1,10,68,9
Dallas,IA,61,,6,4,51,150,730,58
Davis,IA,5,,,,5,9,28,1
Decatur,IA,4,,3,,1,,22,2
Delaware,IA,12,,,,12,53,87,8
Des Moines,IA,200,2,12,22,164,506,317,1
Dickinson,IA,9,,2,,7,47,156,3
Dubuque,IA,270,1,9,13,247,250,533,1
Emmet,IA,12,,2,1,9,65,120,7
Fayette,IA,36,,9,,27,59,130,7
Floyd,IA,22,,2,,20,43,145,7
Franklin,IA,10,,,,10,21,66,5
Fremont,IA,,,,,,,,
Greene,IA,,,,,,37,68,4
Grundy,IA,4,,,,4,43,97,6
Guthrie,IA,,,,,,6,18,1
Hamilton,IA,18,,5,1,12,63,225,30
Hancock,IA,7,,,,7,13,44,7
Hardin,IA,18,,4,,14,61,277,12
Harrison,IA,6,1,1,1,3,51,109,14
Henry,IA,28,1,3,,24,89,245,24
Howard,IA,13,,,4,9,39,115,7
Humboldt,IA,3,,,,3,16,47,11
Ida,IA,3,,,,3,1,61,3
Iowa,IA,15,,1,,14,32,89,10
Jackson,IA,11,,3,1,7,49,164,16
Jasper,IA,29,1,,1,27,120,437,50
Jefferson,IA,34,1,3,1,29,76,214,22
Johnson,IA,362,2,47,60,253,192,627,2
Jones,IA,10,,,,10,41,162,10
Keokuk,IA,1,,,,1,5,18,1
Kossuth,IA,14,,5,1,8,65,78,11
Lee,IA,175,,5,2,168,143,689,56
Linn,IA,495,1,54,84,356,664,1,651
Louisa,IA,30,,3,,27,68,75,7
Lucas,IA,9,,1,,8,60,174,13
Lyon,IA,8,,5,,3,22,41,6
Madison,IA,7,,,,7,25,68,11
Mahaska,IA,41,,7,3,31,123,424,23
Marion,IA,54,,5,2,47,92,273,27
Marshall,IA,196,,10,15,171,321,325,928
Mills,IA,35,,5,2,28,77,242,31
Mitchell,IA,2,,,,2,21,56,2
Monona,IA,1,,,,1,4,9,
Monroe,IA,1,,,,1,8,8,2
Montgomery,IA,11,,,,11,64,198,10
Muscatine,IA,149,1,26,3,119,212,655,38
O'Brien,IA,3,,1,,2,21,56,7
Osceola,IA,3,,1,,2,21,62,4
Page,IA,10,,1,1,8,87,186,25
Palo Alto,IA,10,,,,10,8,19,4
Plymouth,IA,33,,8,1,24,62,232,20
Pocahontas,IA,,,,,,2,13,3
Polk,IA,1,520,16,97,354,1,058,17
Pottawattamie,IA,631,2,108,71,450,208,1,311
Poweshiek,IA,17,,1,,16,84,185,22
Ringgold,IA,,,,,,,2,
Sac,IA,3,,,,3,19,56,1
Scott,IA,1,475,7,59,290,1,713,8
Shelby,IA,9,,,,9,7,32,3
Sioux,IA,11,,2,,9,39,102,13
Story,IA,167,,31,16,120,353,559,1
Tama,IA,47,,1,,46,53,84,18
Taylor,IA,2,,,,2,6,16,5
Union,IA,31,,1,1,29,94,146,22
Van Buren,IA,8,,2,,6,25,37,10
Wapello,IA,206,,13,6,187,398,320,1
Warren,IA,62,1,7,1,53,136,468,44
Washington,IA,55,,11,,44,68,95,11
Wayne,IA,4,,,,4,12,35,3
Webster,IA,195,2,17,27,149,204,547,1
Winnebago,IA,6,,1,,5,9,8,3
Winneshiek,IA,18,,2,,16,23,105,8
Woodbury,IA,443,2,49,45,347,415,979,3
Worth,IA,3,,,,3,11,57,10
Wright,IA,6,,1,,5,32,61,3
Allen,KS,,,,,,,5,
Anderson,KS,18,,1,,17,64,103,8
Atchison,KS,44,,7,8,29,117,327,29
Barber,KS,10,1,,,9,16,22,3
Barton,KS,22,1,3,2,16,101,187,9
Bourbon,KS,59,1,3,6,49,205,357,26
Brown,KS,18,,7,1,10,52,140,6
Butler,KS,95,1,15,4,75,732,331,1
Chase,KS,3,,2,,1,22,13,1
Chautauqua,KS,23,1,2,,20,37,64,5
Cherokee,KS,44,,2,2,40,134,476,56
Cheyenne,KS,,,,,,4,12,1
Clark,KS,1,,,,1,3,5,
Clay,KS,26,2,4,,20,59,110,13
Cloud,KS,20,1,2,,17,66,120,17
Coffey,KS,6,1,1,2,2,23,82,4
Comanche,KS,1,,,,1,,1,
Cowley,KS,141,1,19,5,116,303,280,971
Crawford,KS,163,,17,19,127,167,453,1
Decatur,KS,9,,,,9,21,13,6
Dickinson,KS,50,1,12,1,36,78,295,12
Doniphan,KS,19,1,3,,15,47,103,17
Douglas,KS,427,2,58,67,300,941,871,3
Edwards,KS,1,,,1,,4,13,1
Elk,KS,6,,2,,4,17,46,
Ellis,KS,46,2,2,6,36,114,651,27
Ellsworth,KS,6,,2,,4,21,75,7
Finney,KS,152,2,18,17,115,688,288,1
Ford,KS,159,1,21,22,115,615,275,1
Franklin,KS,77,,17,,60,081,245,788
Geary,KS,179,,12,17,150,144,181,915
Gove,KS,4,,,,4,12,25,2
Graham,KS,4,,2,,2,6,28,
Grant,KS,17,,2,,15,28,104,5
Gray,KS,,,,,,11,10,1
Greeley,KS,1,,,,1,4,11,3
Greenwood,KS,9,,2,,7,51,56,13
Hamilton,KS,3,,,,3,6,25,3
Harper,KS,15,,,,15,30,51,6
Harvey,KS,89,,11,4,74,130,680,28
Haskell,KS,9,,,,9,16,24,4
Hodgeman,KS,4,,,,4,14,53,
Jackson,KS,43,,2,2,39,65,248,18
Jefferson,KS,34,,4,,30,115,253,24
Jewell,KS,,,,,,,,
Johnson,KS,978,5,122,160,691,768,1,351
Kearny,KS,12,,5,,7,25,89,4
Kingman,KS,18,,5,,13,38,98,4
Kiowa,KS,3,,,,3,7,16,3
Labette,KS,80,1,4,4,71,182,522,25
Lane,KS,3,,,,3,7,32,
Leavenworth,KS,284,1,24,46,213,091,424,1
Lincoln,KS,8,,2,,6,14,47,2
Linn,KS,25,,3,,22,94,118,18
Logan,KS,5,,1,1,3,11,32,4
Lyon,KS,72,2,16,9,45,581,291,1
McPherson,KS,26,,10,2,14,137,302,16
Marion,KS,12,,4,,8,63,110,6
Marshall,KS,13,,2,,11,13,60,8
Meade,KS,4,,1,,3,18,18,3
Miami,KS,76,,7,2,67,223,547,56
Mitchell,KS,8,,5,,3,34,57,2
Montgomery,KS,153,1,10,29,113,577,471,1
Morris,KS,3,,1,1,1,31,57,2
Morton,KS,12,1,,,11,19,35,2
Nemaha,KS,10,,1,,9,36,66,6
Neosho,KS,50,,7,2,41,137,368,23
Ness,KS,1,,,,1,12,12,
Norton,KS,2,,1,,1,11,14,2
Osage,KS,42,1,4,3,34,132,184,19
Osborne,KS,2,,,,2,17,13,2
Ottawa,KS,6,,,,6,44,52,6
Pawnee,KS,39,,2,,37,46,175,7
Phillips,KS,,,,,,7,19,2
Pottawatomie,KS,26,,3,1,22,89,234,18
Pratt,KS,23,,2,1,20,28,176,7
Rawlins,KS,7,,4,,3,8,14,1
Reno,KS,273,,44,24,205,191,689,2
Republic,KS,4,,1,,3,56,52,9
Rice,KS,18,,3,1,14,29,122,11
Riley,KS,173,3,29,19,122,764,288,1
Rooks,KS,5,,,,5,21,15,1
Rush,KS,2,,,,2,16,10,1
Russell,KS,25,3,3,1,18,38,99,15
Saline,KS,187,1,44,12,130,925,396,2
Scott,KS,16,1,,,15,28,82,4
Sedgwick,KS,3,070,31,273,636,2,180,24
Seward,KS,95,3,11,12,69,307,268,976
Shawnee,KS,736,8,57,258,413,10,245,1
Sheridan,KS,,,,,,2,7,2
Sherman,KS,22,1,3,1,17,37,143,8
Smith,KS,1,,,,1,13,22,2
Stafford,KS,4,,1,,3,24,62,4
Stanton,KS,,,,,,14,8,3
Stevens,KS,20,,1,,19,45,79,4
Sumner,KS,63,,5,1,57,144,493,35
Thomas,KS,30,,2,3,25,36,210,5
Trego,KS,3,,,2,1,7,14,1
Wabaunsee,KS,7,,1,,6,52,85,10
Wallace,KS,2,,,,2,1,1,
Washington,KS,2,,1,,1,10,9,
Wichita,KS,9,,,,9,15,19,5
Wilson,KS,15,,1,1,13,82,118,10
Woodson,KS,6,,,1,5,30,38,5
Wyandotte,KS,1,063,40,114,355,13,806,1
Adair,KY,6,,1,,5,14,37,5
Allen,KY,12,1,1,1,9,27,64,10
Anderson,KY,12,,2,2,8,82,201,10
Ballard,KY,8,,1,,7,23,66,11
Barren,KY,20,,2,6,12,140,348,38
Bath,KY,2,,,,2,14,24,7
Bell,KY,10,1,,,9,40,103,20
Boone,KY,200,2,27,44,127,771,431,2
Bourbon,KY,20,,1,6,13,75,201,30
Boyd,KY,127,,9,26,92,568,268,1
Boyle,KY,27,,5,7,15,160,401,38
Bracken,KY,1,,,,1,2,2,1
Breathitt,KY,5,,,,5,14,52,8
Breckinridge,KY,3,,1,1,1,34,30,8
Bullitt,KY,59,1,8,12,38,296,610,65
Butler,KY,4,,,,4,13,15,5
Caldwell,KY,15,,2,3,10,46,160,7
Calloway,KY,49,1,11,8,29,014,278,679
Campbell,KY,54,3,27,7,17,109,509,36
Carlisle,KY,,,,,,2,3,
Carroll,KY,12,,1,1,10,30,87,8
Carter,KY,11,,2,1,8,78,110,22
Casey,KY,,,,,,16,31,
Christian,KY,156,2,18,64,72,166,576,1
Clark,KY,58,,2,22,34,078,221,793
Clay,KY,29,,6,1,22,73,142,33
Clinton,KY,2,,,,2,8,11,1
Crittenden,KY,5,,1,,4,36,71,3
Cumberland,KY,,,,,,,3,
Daviess,KY,194,1,17,42,134,863,667,2
Edmonson,KY,5,,2,1,2,22,39,5
Elliott,KY,,,,,,,,
Estill,KY,10,,1,3,6,46,76,5
Fayette,KY,1,317,24,146,577,888,10,886
Fleming,KY,3,,,,3,25,33,7
Floyd,KY,14,,,1,13,30,170,11
Franklin,KY,96,1,12,15,68,411,308,1
Fulton,KY,18,,2,2,14,36,160,19
Gallatin,KY,5,,,,5,18,37,11
Garrard,KY,10,,2,2,6,48,172,7
Grant,KY,2,,,1,1,15,54,5
Graves,KY,56,2,4,17,33,157,241,39
Grayson,KY,13,,4,1,8,98,157,34
Green,KY,,,,,,1,,
Greenup,KY,5,,,3,2,30,108,15
Hancock,KY,,,,,,5,19,2
Hardin,KY,157,2,25,44,86,125,428,1
Harlan,KY,22,,1,4,17,37,213,8
Harrison,KY,9,,1,2,6,29,183,18
Hart,KY,6,,1,,5,51,121,7
Henderson,KY,,,,,,,,
Henry,KY,15,1,5,1,8,15,12,2
Hickman,KY,1,,,,1,24,24,
Hopkins,KY,90,1,15,7,67,280,249,940
Jackson,KY,,,,,,8,8,2
Jefferson,KY,3,542,66,228,1,666,3,323
Jessamine,KY,14,,5,1,8,85,160,26
Johnson,KY,7,,1,1,5,22,145,25
Kenton,KY,147,1,15,44,87,934,343,1
Knott,KY,1,,,,1,15,52,1
Knox,KY,9,,1,3,5,41,117,32
Larue,KY,18,,2,2,14,49,78,17
Laurel,KY,32,1,3,6,22,012,205,690
Lawrence,KY,,,,,,9,21,3
Lee,KY,1,,,,1,3,12,5
Leslie,KY,,,,,,,,
Letcher,KY,6,,,,6,35,77,17
Lewis,KY,3,1,1,,1,45,73,6
Lincoln,KY,2,,,,2,28,43,4
Livingston,KY,4,,,1,3,77,76,7
Logan,KY,53,,7,3,43,162,361,16
Lyon,KY,6,,,,6,12,33,
McCracken,KY,260,9,31,66,154,957,273,1
McCreary,KY,2,,,2,,25,45,9
McLean,KY,,,,,,22,10,2
Madison,KY,59,,7,13,39,559,298,1
Magoffin,KY,1,,,,1,9,16,9
Marion,KY,,,,,,,,
Marshall,KY,33,5,5,2,21,184,289,35
Martin,KY,1,,,,1,10,25,27
Mason,KY,49,,3,13,33,176,412,44
Meade,KY,10,,1,1,8,95,101,22
Menifee,KY,1,,,,1,9,19,1
Mercer,KY,28,,2,3,23,92,116,17
Metcalfe,KY,4,,,3,1,15,35,6
Monroe,KY,,,,,,,,
Montgomery,KY,11,,,1,10,87,460,38
Morgan,KY,,,,,,,,
Muhlenberg,KY,5,,,,5,15,44,6
Nelson,KY,26,2,5,2,17,66,170,17
Nicholas,KY,4,,,,4,11,17,3
Ohio,KY,7,,1,,6,76,109,17
Oldham,KY,17,1,3,4,9,88,292,45
